DestLgt,DestLat,Orig Lgt,Orig Lat
-96.965,32.879,-95.396,30.012
-94.136,36.334,-95.396,30.012
-96.965,32.879,-95.396,30.012
-97.431,35.213,-95.396,30.012
-92.323,34.717,-95.396,30.012
-94.131,33.442,-95.396,30.012
-94.396,35.324,-95.396,30.012
-94.396,35.324,-95.396,30.012
-94.18,36.115,-95.396,30.012
-97.431,35.213,-95.396,30.012
-96.965,32.879,-95.396,30.012
-94.136,36.334,-95.396,30.012
-94.136,36.334,-95.396,30.012
-97.165,34.181,-95.396,30.012
-93.719,32.419,-95.396,30.012
-95.885,36.024,-95.396,30.012
-93.089,35.276,-95.396,30.012
-94.18,36.115,-95.396,30.012
-94.18,36.115,-95.396,30.012
-95.885,36.024,-95.396,30.012
-92.323,34.717,-95.396,30.012
-94.122,36.34,-95.396,30.012
-92.323,34.717,-95.396,30.012
-92.323,34.717,-95.396,30.012
-97.08,32.775,-95.396,30.012
-94.18,36.115,-95.396,30.012
-93.719,32.419,-95.396,30.012
-93.719,32.419,-95.396,30.012
-95.885,36.024,-95.396,30.012
-95.328,32.306,-95.396,30.012
-97.629,35.568,-95.396,30.012
-94.698,32.494,-95.396,30.012
-96.989,33.023,-95.396,30.012
-92.3,34.78,-95.396,30.012
-97.315,32.543,-95.396,30.012
-96.801,33.014,-95.396,30.012
-97.067,32.924,-95.396,30.012
-92.323,34.717,-95.396,30.012
-93.089,35.276,-95.396,30.012
-96.643,33.167,-95.396,30.012
-92.323,34.717,-95.396,30.012
-96.801,33.014,-95.396,30.012
-96.89,32.906,-95.396,30.012
-97.419,35.442,-95.396,30.012
-94.396,35.324,-95.396,30.012
-94.396,35.324,-95.396,30.012
-97.497,35.602,-95.396,30.012
-94.396,35.324,-95.396,30.012
-94.18,36.115,-95.396,30.012
-97.431,35.213,-95.396,30.012
-92.323,34.717,-95.396,30.012
-90.704,35.843,-95.396,30.012
-93.719,32.419,-95.396,30.012
-97.315,32.543,-95.396,30.012
-96.971,32.838,-95.396,30.012
-96.965,32.879,-95.396,30.012
-92.323,34.717,-95.396,30.012
-96.971,32.838,-95.396,30.012
-95.885,36.024,-95.396,30.012
-94.122,36.34,-95.396,30.012
-92.323,34.717,-95.396,30.012
